title,image,price,href,asin,rating,manufacturer,brand,item_weight,product_dimensions,material_type,size,manufacturer_part_number,customer_reviews,best_sellers_rank,date_first_available
"100 Pack Foam Sheets, DAT 12"" x 12"", 1/16"" Thickness, Foam Wrap Cushioning Material, Moving Supplies for Packing Storage and Shipping",https://m.media-amazon.com/images/I/71LRQKEPMPL._AC_UL320_.jpg,16.99,/DAT-Cushioning-Material-Supplies-Shipping/dp/B07TRPGJYX/ref=sr_1_2?keywords=supplies&qid=1644153678&s=office-products&sr=1-2,B07TRPGJYX,12584 ,‎DAT,‎DAT,‎10 ounces,‎12 x 12 x 6 inches,‎Polyethylene,"‎100 pack 1/16""",‎FW16,4.7,#300 in Office Products (See Top 100 in Office Products)   #1 in Cushioning Foam,"July 1, 2019"
"Binder Clips Paper Clips, Sopito 300pcs Colored Office Clips Set with Paper Clamps Paperclips Rubber Bands for Office and School Supplies, Assorted Sizes",https://m.media-amazon.com/images/I/81zLYQBCtvL._AC_UL320_.jpg,9.99,/Sopito-Colored-Paperclips-Supplies-Assorted/dp/B08L53LRFN/ref=sr_1_3?keywords=supplies&qid=1644153678&s=office-products&sr=1-3,B08L53LRFN,1775 ,‎Sopito,‎Sopito,‎9.6 ounces,,,‎300pcs,‎JJD001,4.8,"#1,353 in Office Products (See Top 100 in Office Products)   #11 in Binder & Paper Clips","October 13, 2020"
"EXPO Low Odor Dry Erase Markers, Chisel Tip, Assorted Colors, 16 Pack",https://m.media-amazon.com/images/I/911fLWIFcwL._AC_UL320_.jpg,,/Erase-Markers-Chisel-Assorted-Colors/dp/B000J09OLM/ref=sr_1_4?keywords=supplies&qid=1644153678&s=office-products&sr=1-4,B000J09OLM,57150 ,‎Sanford,‎EXPO,‎8.8 ounces,‎8.25 x 8.74 x 2 inches,‎Ink,‎16-Count,‎81045,4.8,#15 in Office Products (See Top 100 in Office Products)   #1 in Dry Erase & Wet Erase Markers,"January 13, 2006"
"Scissors, iBayam 8"" Multipurpose Scissors Bulk Ultra Sharp Shears, Comfort-Grip Sturdy Scissors for Office Home School Sewing Fabric Craft Supplies, Right/Left Handed, 3-Pack, Yellow, Pink, Green",https://m.media-amazon.com/images/I/61-6oTPjTPS._AC_UL320_.jpg,10.99,/iBayam-Scissors-Multipurpose-Assorted-Classroom/dp/B08T1SJLV3/ref=sr_1_5?keywords=supplies&qid=1644153678&s=office-products&sr=1-5,B08T1SJLV3,48080 ,‎iBayam,,‎11.1 ounces,,,,,4.8,"#9 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)   #1 in Craft Scissors","November 11, 2019"
"Mr. Pen- Sticky Notes Set, Sticky Notes Tabs, 410 Pack, Divider Sticky Notes, School Supplies, Office Supplies, Planner Sticky Notes, Sticky Note Dividers Tabs, Book Notes, Bible Sticky Notes",https://m.media-amazon.com/images/I/91V4AdyAZDL._AC_UL320_.jpg,7.95,/Mr-Divider-Supplies-Planner-Dividers/dp/B086V1MR47/ref=sr_1_6?keywords=supplies&qid=1644153678&s=office-products&sr=1-6,B086V1MR47,4477 ,‎Mr. Pen,‎Mr. Pen,‎8.1 ounces,,,,‎SN285,4.6,"#1,517 in Office Products (See Top 100 in Office Products)   #28 in Self-Stick Note Pads","April 6, 2020"
"Paper Mate Flair Felt Tip Pens | Medium Point 0.7 Millimeter Marker Pens | Back to School Supplies for Teachers & Students | Assorted Colors, 24 Count",https://m.media-amazon.com/images/I/81Ehfpi3aPL._AC_UL320_.jpg,22.99,/Paper-Mate-Medium-Assorted-Colors/dp/B01HAREUK6/ref=sr_1_7?keywords=supplies&qid=1644153678&s=office-products&sr=1-7,B01HAREUK6,49544 ,‎Newell Rubbermaid Office,‎Paper Mate,‎6.4 ounces,‎0.97 x 7.25 x 8.5 inches,‎Plastic,‎24-Count,‎1978998,4.9,,"June 15, 2016"
"HIPTIS Watercolor Brush Pens, Painting Pens with Flexible Brush Tips Paint Markers for Coloring Drawing with Water Brush Art Supplies for Artists and Beginners (48)",https://m.media-amazon.com/images/I/71AGhjtBRfL._AC_UL320_.jpg,23.89,/HIPTIS-Watercolor-Painting-Flexible-Beginners/dp/B09G9G7QK3/ref=sr_1_8?keywords=supplies&qid=1644153678&s=office-products&sr=1-8,B09G9G7QK3,86 ,‎HIPTIS,‎HIPTIS,‎1.34 pounds,‎8.66 x 6.69 x 2.76 inches,,,‎TW000001,4.7,"#4,170 in Office Products (See Top 100 in Office Products)   #5 in Calligraphy Pens   #51 in Drawing Pens","September 15, 2021"
"Mr. Pen- Pastel Highlighters, 8 Pack, Chisel Tip, Assorted Colors, Highlighters, No Smear Highlighter, Fast Dry, Bible Study Supplies, Pastel Marker, Pastel School Supplies, Pastel Highlighter Set",https://m.media-amazon.com/images/I/81b-K2kn5TL._AC_UL320_.jpg,5.99,/Mr-Highlighters-Assorted-Highlighter-Supplies/dp/B08FGMJL47/ref=sr_1_9?keywords=supplies&qid=1644153678&s=office-products&sr=1-9,B08FGMJL47,2047 ,‎Mr. Pen,‎Mr. Pen,‎11.3 ounces,,,,‎FH08,4.7,"#3,851 in Office Products (See Top 100 in Office Products)   #45 in Liquid Highlighters","August 9, 2020"
"Feeke Colorful Masking Tape, Decorative Colored DIY Tape for Arts & Crafts, Labeling or Coding - Art Supplies for Kids - 6 Different Color Rolls, 1 Inch x 30 Yards",https://m.media-amazon.com/images/I/71yvDdQVLmL._AC_UL320_.jpg,15.99,/Feeke-Colorful-Masking-Decorative-Labeling/dp/B09DXC7GJD/ref=sr_1_10?keywords=supplies&qid=1644153678&s=office-products&sr=1-10,B09DXC7GJD,1 rating,,,,,,,,,,
"Acrylic Paint Set,46 Piece Professional Painting Supplies with Paint Brushes, Acrylic Paint, Easel, Canvases, Palette, Paint Knives, Brush Cup and Art Sponges for Hobbyists and Beginners",https://m.media-amazon.com/images/I/81BmCCANEkL._AC_UL320_.jpg,24.99,/Professional-Painting-Supplies-Hobbyists-Beginners/dp/B08L7K5N4Z/ref=sr_1_11?keywords=supplies&qid=1644153678&s=office-products&sr=1-11,B08L7K5N4Z,1029 ,ESRICH,,2.93 pounds,16 x 10 x 3 inches,,,,4.7,"#4,937 in Arts, Crafts & Sewing (See Top 100 in Arts, Crafts & Sewing)   #77 in Art Paintbrush Sets","October 15, 2020"
